# Permission database for AdvancedLuckPermsGUI
# Version 1.0
# Format are <pluginName>|<permission>|<desc>|<commands>,|<defaultAssignment>
ASkyBlock|askyblock.command.newexempt|Player is exempt from commands run when starting an island|<l>empty<l>|op
ASkyBlock|askyblock.command.newteamexempt|Player is exempt from commands run when accepting a team invite|<l>empty<l>|op
ASkyBlock|askyblock.command.resetexempt|Player is exempt from commands run when island resets|<l>empty<l>|op
ASkyBlock|askyblock.coop|empty|<l>empty<l>|op
ASkyBlock|askyblock.craft.*|Allow all permissions of the Craft permissions|<l>empty<l>|op
ASkyBlock|askyblock.craft.dirt|Allows tilling of coarse dirt into dirt|<l>empty<l>|op
ASkyBlock|askyblock.craft.enderchest|Allow crafting and use of enderchests in askyblock|<l>empty<l>|op
ASkyBlock|askyblock.craft.enderchest|Allows crafting and use of an enderchest. Note that this will enable cheating if you have more than one world!|<l>empty<l>|op
ASkyBlock|askyblock.intopten|Includes player in top ten|<l>empty<l>|op
ASkyBlock|askyblock.island.addwarp|Let the player place a Welcome warp sign|<l>empty<l>|op
ASkyBlock|askyblock.island.ban|Allows banning of visitors|<l>empty<l>|op
ASkyBlock|askyblock.island.biomes|Allows biome changing|<l>/island biomes<l>|op
ASkyBlock|askyblock.island.challenges|Let the player use the /challenges command|<l>/challenges<l>|op
ASkyBlock|askyblock.island.controlpanel|empty|<l>empty<l>|op
ASkyBlock|askyblock.island.controlpanel|Allows usage of the island GUI|<l>/island cp<l>|op
ASkyBlock|askyblock.island.create|Let the player use the /island command|<l>/island<l>|op
ASkyBlock|askyblock.island.expel|Allows expelling of visitors|<l>/island expel<l>|op
ASkyBlock|askyblock.island.go|Allow teleporting to player island|<l>/island go<l>|op
ASkyBlock|askyblock.island.info|Let the player check their island level|<l>/island level<l>|op
ASkyBlock|askyblock.island.lang|Player can select a language|<l>/island lang<l>|op
ASkyBlock|askyblock.island.lock|Allows island locking|<l>/island lock<l>|op
ASkyBlock|askyblock.island.minishop|Allows usage of the minishop|<l>/island ms<l>|op
ASkyBlock|askyblock.island.name|Player can set the name of their island|<l>empty<l>|op
ASkyBlock|askyblock.island.reset|Player can use the island reset or restart command|<l>empty<l>|op
ASkyBlock|askyblock.island.sethome|Let the player set their island teleport point|<l>/island sethome<l>|op
ASkyBlock|askyblock.island.settings|Player can see server settings|<l>/island settings<l>|op
ASkyBlock|askyblock.island.spawn|Player can use the island spawn command if spawn exists|<l>/island spawn<l>|op
ASkyBlock|askyblock.island.topten|Let the player see the top ten list|<l>/island top<l>|op
ASkyBlock|askyblock.island.value|Player can see the value of a block|<l>empty<l>|op
ASkyBlock|askyblock.island.warp|Let the player use /island warp to warp to a players island|<l>/island warp<l>|op
ASkyBlock|askyblock.islandfly|Allow player to fly inside his island boundaries|<l>empty<l>|op
ASkyBlock|askyblock.mod.*|Allow all permissions of the Mod permissions|<l>empty<l>|op
ASkyBlock|askyblock.mod.bypassexpel|Allow moderator to bypass island expulsion|<l>empty<l>|op
ASkyBlock|askyblock.mod.bypasslock|Bypasses an island lock|<l>empty<l>|op
ASkyBlock|askyblock.mod.bypassprotect|Allow moderator to bypass island protection|<l>empty<l>|op
ASkyBlock|askyblock.mod.challenges|Let a moderator access challenge commands|<l>empty<l>|op
ASkyBlock|askyblock.mod.clearreset|Allow clearing of island reset limit|<l>empty<l>|op
ASkyBlock|askyblock.mod.info|Let a moderator see info on a player|<l>empty<l>|op
ASkyBlock|askyblock.mod.lock|Locks or unlocks an island|<l>empty<l>|op
ASkyBlock|askyblock.mod.name|Enables naming of player's islands|<l>empty<l>|op
ASkyBlock|askyblock.mod.noburn|Gives mod immunity to acid|<l>empty<l>|op
ASkyBlock|askyblock.mod.removesign|Gives ability to remove warp signs|<l>empty<l>|op
ASkyBlock|askyblock.mod.resethome|Allows setting or reseting of a player's home position|<l>empty<l>|op
ASkyBlock|askyblock.mod.resetname|Enables reset of player's island names|<l>empty<l>|op
ASkyBlock|askyblock.mod.setbiome|Allows setting player island biomes|<l>empty<l>|op
ASkyBlock|askyblock.mod.setdeaths|Sets how many deaths the player has|<l>empty<l>|op
ASkyBlock|askyblock.mod.signadmin|Enables warp sign admin commands|<l>empty<l>|op
ASkyBlock|askyblock.mod.spy|Spy on team chats|<l>empty<l>|op
ASkyBlock|askyblock.mod.team|Enables modification of teams via kick and add commands|<l>empty<l>|op
ASkyBlock|askyblock.mod.topbreeders|Lists most populated islands current loaded|<l>empty<l>|op
ASkyBlock|askyblock.mod.topten|Let a moderator update the top ten list|<l>empty<l>|op
ASkyBlock|askyblock.mod.tp|Allows teleport to an island|<l>empty<l>|op
ASkyBlock|askyblock.mod.tpnether|Allows teleport to a nether island|<l>empty<l>|op
ASkyBlock|askyblock.nohunger|Excludes player from hunger if on island|<l>empty<l>|op
ASkyBlock|askyblock.settings.*|Ability to change settings in GUI|<l>/island settings<l>|op
ASkyBlock|askyblock.team.*|Allow all permissions of the Team permissions|<l>/island leave<br>/island team<l>|op
ASkyBlock|askyblock.team.chat|Allow player to use team chat|<l>empty<l>|op
ASkyBlock|askyblock.team.create|empty|<l>empty<l>|op
ASkyBlock|askyblock.team.create|Let a player invite other players to join a team|<l>/island invite<l>|op
ASkyBlock|askyblock.team.join|empty|<l>empty<l>|op
ASkyBlock|askyblock.team.join|Let a player join another player's team|<l>/island accept<br>/island reject<l>|op
ASkyBlock|askyblock.team.kick|empty|<l>empty<l>|op
ASkyBlock|askyblock.team.kick|Let a player kick other players|<l>/island kick<l>|op
ASkyBlock|askyblock.team.makeleader|empty|<l>empty<l>|op
ASkyBlock|askyblock.team.makeleader|Let a player make another player leader of the team|<l>/island makeleader<l>|op
ActionHealth|ActionHealth.Health|This will send the player the health message only if 'Use Permission' is enabled in the config.|<l>empty<l>|op
ActionHealth|ActionHealth.Reload|Reloads config.|<l>/Actionhealth reload<l>|op
Actionbar|actionbar.announcer.list|Allows you to list all messages of the announcer |<l>/actionbarannouncer list<l>|op
Actionbar|actionbar.announcer.send|Allows you to send a line of the announcers messages |<l>/actionbarannouncer send<l>|op
Actionbar|actionbar.announcer.start|Allows you to start the announcer|<l>/actionbarannouncer start<l>|op
Actionbar|actionbar.announcer.stop|Allows you to stop the announcer|<l>/actionbarannouncer stop<l>|op
Actionbar|actionbar.announcer.time|Allows you to set the time of the announcer|<l>/actionbarannouncer time<l>|op
Actionbar|actionbar.colorcodes|gives you the permission to use colorcodes|<l>empty<l>|op
Actionbar|actionbar.private|Allows you to send a private message via actionbar|<l>/actionbar <msg/private> <player> <message><l>|op
Actionbar|actionbar.public|Allows you to broadcast a message via actionbar|<l>/actionbar <all/announce/broadcast> <message><l>|op
Actionbar|actionbar.reload|Allows you to reload the config|<l>/actionbar reload<l>|op
Actionbar|actionbar.world|Allows you to send a world message via actionbar|<l>/actionbar <world> <name> <message><l>|op
AdminMode|adminmode.use|empty|<l>empty<l>|op
AdvancedAchievements|achievement.*|Star notation of permissions, includes all the permissions and disables book and list commands delays.|<l>empty<l>|op
AdvancedAchievements|achievement.book|Allows to receive achievements books.|<l>/aach book<l>|op
AdvancedAchievements|achievement.check|Allows to check if achievements were received by players.|<l>/aach check<l>|op
AdvancedAchievements|achievement.count.anvilsused|Allows anvils used statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.arrows|Allows arrow statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.beds|Allows bed statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.brewing|Allows brewing statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.connections|Allows connection statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.consumedpotions|Allows consumed potions statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.deaths|Allows death statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.distanceboat|Allows boat distance statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.distancefoot|Allows foot distance statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.distancegliding|Allows gliding distance statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.distancehorse|Allows horse distance statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.distancellama|Allows distance llama statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.distanceminecart|Allows minecart distance statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.distancepig|Allows pig distance statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.eatenitems|Allows eaten item statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.eggs|Allows egg statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.enchantments|Allows enchantment statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.enderpearls|Allows ender pearl statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.fertilising|Allows fertilising statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.fireworks|Allows firework statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.fish|Allows fish statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.hoeplowings|Allows hoe plowing statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.itembreaks|Allows item breaks statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.itemdrops|Allows item drop statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.itempickups|Allows item pickup statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.lavabuckets|Allows lava bucket statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.maxlevel|Allows max level statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.milk|Allows milk statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.musicdiscs|Allows music disc statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.petmastergive|Allows Pet Master give statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.petmasterreceive|Allows Pet Master receive statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.playedtime|Allows played time statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.shear|Allows shear statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.smelting|Allows smelting statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.snowballs|Allows snowball statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.taming|Allows taming statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.trades|Allows trade statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.treasures|Allows treasure statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.count.waterbuckets|Allows water bucket statistics in database to increase.|<l>empty<l>|op
AdvancedAchievements|achievement.delete|Allows to delete achievements by command.|<l>/aach delete<l>|op
AdvancedAchievements|achievement.easteregg|Allows to display the plugin's easter egg.|<l>empty<l>|op
AdvancedAchievements|achievement.generate|Allows to generate advancements from the achievements defined in the configuration.|<l>/aach generate<l>|op
AdvancedAchievements|achievement.give|Allows to give achievements by command.|<l>/aach give <l>|op
AdvancedAchievements|achievement.list|Allows to display  name of received and missing achievements.|<l>/aach list<l>|op
AdvancedAchievements|achievement.month|Allows to display monthly achievement rankings.|<l>/aach month<l>|op
AdvancedAchievements|achievement.reload|Allows to reload the plugin's configuration.|<l>/aach reload<l>|op
AdvancedAchievements|achievement.reset|Allows to reset category statistics for a player.|<l>/aach reset<l>|op
AdvancedAchievements|achievement.stats|Allows to display achievement stats.|<l>/aach stats<l>|op
AdvancedAchievements|achievement.toggle|Allows to override the default behaviour of the NotifyOtherPlayers parameter on a per player basis.|<l>/aach toggle<l>|op
AdvancedAchievements|achievement.top|Allows to display permissions achievement rankings.|<l>/aach top<l>|op
AdvancedAchievements|achievement.update|Allows to be notified when a plugin update is available and CheckForUpdate is set to true in config.|<l>/aach update<l>|op
AdvancedAchievements|achievement.week|Allows to display weekly achievement rankings.|<l>/aach week<l>|op
AdvancedBan|ab.all.undo|Delete a punishment.|<l>/unpunish<l>|op
AdvancedBan|ab.ban|An unknown description|<l>empty<l>|op
AdvancedBan|ab.ban.ip|To use the command.|<l>/banip<l>|op
AdvancedBan|ab.ban.notify|To get notified.|<l>empty<l>|op
AdvancedBan|ab.ban.perma|To use the command.|<l>/ban<l>|op
AdvancedBan|ab.ban.temp|To use the command.|<l>/tempban<l>|op
AdvancedBan|ab.ban.undo|To use the command.|<l>/unban<l>|op
AdvancedBan|ab.banlist|See all currently active punishments.|<l>/banlist<l>|op
AdvancedBan|ab.check|Get player-status UUID/IP/Country/Ban-Status/Mute-Status/Warn-Count.|<l>/check<l>|op
AdvancedBan|ab.help|Shows a list of all commands and a brief explanation .|<l>/advancedban help<l>|op
AdvancedBan|ab.history|See all currently active punishments.|<l>/history<l>|op
AdvancedBan|ab.ipban|An unknown description|<l>empty<l>|op
AdvancedBan|ab.ipban.notify|To get notified.|<l>empty<l>|op
AdvancedBan|ab.kick|An unknown description|<l>empty<l>|op
AdvancedBan|ab.kick.exempt|To not be able to get kicked.|<l>empty<l>|op
AdvancedBan|ab.kick.notify|To get notified.|<l>empty<l>|op
AdvancedBan|ab.mute.exempt|To not be able to get muted.|<l>empty<l>|op
AdvancedBan|ab.mute.notify|To get notified.|<l>empty<l>|op
AdvancedBan|ab.mute.perma|To use the command.|<l>/mute<l>|op
AdvancedBan|ab.mute.temp|To use the command.|<l>/tempmute<l>|op
AdvancedBan|ab.mute.undo|To use the command.|<l>/unmute<l>|op
AdvancedBan|ab.reload|Reloads the messages from file and "some" settings.|<l>/advancedban reload<l>|op
AdvancedBan|ab.systemprefs|Displays some System-Information which are useful for the configuration.|<l>/systemprefs<l>|op
AdvancedBan|ab.tempban.exempt|To not be able to get tempbanned.|<l>empty<l>|op
AdvancedBan|ab.tempban.notify|To get notified.|<l>empty<l>|op
AdvancedBan|ab.tempmute.exempt|To not be able to get tempmuted.|<l>empty<l>|op
AdvancedBan|ab.tempmute.notify|To get notified.|<l>empty<l>|op
AdvancedBan|ab.tempwarn.exempt|To not be able to get tempwarned.|<l>empty<l>|op
AdvancedBan|ab.tempwarn.notify|To get notified.|<l>empty<l>|op
AdvancedBan|ab.warn.exempt|To not be able to get warned.|<l>empty<l>|op
AdvancedBan|ab.warn.notify|To get notified.|<l>empty<l>|op
AdvancedBan|ab.warn.perma|To use the command.|<l>/warn<l>|op
AdvancedBan|ab.warn.temp|To use the command.|<l>/tempwarn<l>|op
AdvancedBan|ab.warn.undo|To use the command.|<l>/unwarn<l>|op
AdvancedBan|ab.warns.other|See your own or a player's warnings.|<l>/warns<l>|op
AdvancedBan|ab.warns.own|See your own warnings.|<l>/warns<l>|op
AdvancedCraftingTable|advancedcraftingtable.admin| to maintain the base Command /advancedcraftingtable|<l>/advancedcraftingtable<l>|op
AdvancedPortals|AdvancedPortals.CreatePortal|This command is used to create a portal and set where it will teleport you to, although you will have to create a destination for the portal to actually let anyone through! After /portal create you can list the variables for the portal in any order but you can not have any spaces in variables or between the variable type the string so name:testportal is read ok but name:test portal will make a portal called test and name testportal will just ignore the name altogether.|<l>/portal<br>/portal portalblock<br>/portal select<br>/portal selector<br>/portal create name:<name> desti:<destination><br>/destination create <name><l>|op
AdvancedPortals|advancedportals.*|Gives access to all commands.|<l>empty<l>|op
AdvancedPortals|advancedportals.build|Allows you to build in the portal regions.|<l>empty<l>|op
AdvancedPortals|advancedportals.createportal.commandlevel.*|Gives access to all level raisers.|<l>empty<l>|op
AdvancedPortals|advancedportals.createportal.commandlevel.console|Executes command in the console.|<l>empty<l>|op
AdvancedPortals|advancedportals.createportal.commandlevel.op|Allows you to increase the users level temporaily to op.|<l>empty<l>|op
AdvancedPortals|advancedportals.createportal.commandlevel.perms|Allows you to increase the users level temporaily to have all perms.|<l>empty<l>|op
AdvancedPortals|advancedportals.desti|Gives access to all desti commands.|<l>empty<l>|op
AdvancedPortals|advancedportals.help|Display help.|<l>/Portals help<l>|op
AdvancedPortals|advancedportals.portal|Allows use of portal commands.|<l>empty<l>|op
AdvancedPortals|advancedportals.removeportal|Enter this command to destroy a portal with a set name. If the argument is left blank it will destroy the currently selected portal.|<l>/portal remove <name><l>|op
AdvancedPortals|advancedportals.warp.*|You need to give your players this permission otherwise they will not be able to teleport through the portals.|<l>empty<l>|op
AdvancedReplay|replay.command.delete|Ability to use the delete command (deletes an existing replay)|<l>/replay delete <Name><l>|op
AdvancedReplay|replay.command.leave|Ability to use the leave command (leaves the current replay)|<l>/replay leave<l>|op
AdvancedReplay|replay.command.list|Ability to use the list command (lists all available replays)|<l>/replay list [Page]<l>|op
AdvancedReplay|replay.command.play|Ability to use the play command (starts a recorded replay)|<l>/replay play <Name><l>|op
AdvancedReplay|replay.command.reload|Ability to use the reload command (reloads the plugin configuration)|<l>/replay reload<l>|op
AdvancedReplay|replay.command.start|Ability to use the start command (starts recording a new replay)|<l>/replay start <Name> [<Players ...>]<l>|op
AdvancedReplay|replay.command.stop|Ability to use the stop command (stops and saves a replay)|<l>/replay stop <Name><l>|op
AdvancedTags|advancedtags.about|About the plugin|<l>/advancedtags about<l>|op
AdvancedTags|advancedtags.assign|Assign a tag to a player|<l>/advancedtags assign<l>|op
AdvancedTags|advancedtags.help|Plugin help|<l>/advancedtags<l>|op
AdvancedTags|advancedtags.reload|Reload configs|<l>/advancedtags reload<l>|op
AntiAFKPlus|AntiAFKPlus.bypass|Bypass the AFK Check|<l>empty<l>|op
AntiAFKPlus|AntiAFKPlus.reload|Reload the AFK Plugin|<l>/antiafk reload<l>|op
AntiAura|antiaura.bypass|Don't get kicked by any of AntiAura's checks|<l>empty<l>|op
AntiAura|antiaura.reload|Use the /areload command|<l>/areload<l>|op
AntiAura|antiauramessages.notify|Alerts you when someone is Cheating|<l>empty<l>|op
AntiAuraMessages|antiauramessages.notify|Here you can change the notification permission from the plugin.|<l>empty<l>|op
AntiBotDeluxeEX|antibotdeluxe.perform.command|Spigot Command Permission|<l>/ab<br>/antibotdeluxe<l>|op
AntiBotDeluxeEX|antibotdeluxebungee.perform.command|BungeeCord Command Permission|<l>/ab<br>/antibotdeluxe<l>|op
AntiPhysics|antiphysics.admin|to maintain the base Command /antiphysics|<l>empty<l>|op
AntiWorldFly|antiworldfly.*|Star notation of permissions, includes all of them.|<l>/awf reload<l>|op
AntiWorldFly|antiworldfly.fly|Allows to fly even if player is in a world blocked by the plugin.|<l>empty<l>|op
AntiWorldFly|antiworldfly.use|Allows to use the enable, disable, add and remove commands.|<l>/awf enable<br>/awf disable<br>/awf add<br>/awf remove<l>|op
AreaShop|areashop.*|Allows everything, like OP has by default|<l>empty<l>|op
AreaShop|areashop.addfriend|Only region you own|<l>/as addfriend <player> [region]<l>|op
AreaShop|areashop.addfriendall|All regions|<l>/as addfriend <player> [region]<l>|op
AreaShop|areashop.addsign|empty|<l>empty<l>|op
AreaShop|areashop.buy|empty|<l>empty<l>|op
AreaShop|areashop.buynormal|Can be negated to prevent players from buying non-resell mode regions|<l>/as buy [region]<l>|op
AreaShop|areashop.buyresell|Can be negated to prevent players from buying resell mode regions|<l>/as buy [region]<l>|op
AreaShop|areashop.createbuy|Only buy regions|<l>/as add <rent<br> buy> [region] [world]<l>|op
AreaShop|areashop.createbuy.member|Add WorldGuard regions that you are member off to AreaShop as buy***|<l>/as add <rent<br> buy> [region] [world]<l>|op
AreaShop|areashop.createbuy.owner|Add WorldGuard regions that you are owner off to AreaShop as buy***|<l>/as add <rent<br> buy> [region] [world]<l>|op
AreaShop|areashop.createrent|Only rent regions|<l>/as add <rent<br> buy> [region] [world]<l>|op
AreaShop|areashop.createrent.member|Add WorldGuard regions that you are member off to AreaShop as rent***|<l>/as add <rent<br> buy> [region] [world]<l>|op
AreaShop|areashop.createrent.owner|Add WorldGuard regions that you are owner off to AreaShop as rent***|<l>/as add <rent<br> buy> [region] [world]<l>|op
AreaShop|areashop.delfriend|Only region you own|<l>/as delfriend <player> [region]<l>|op
AreaShop|areashop.delfriendall| All regions|<l>/as delfriend <player> [region]<l>|op
AreaShop|areashop.delsign|empty|<l>empty<l>|op
AreaShop|areashop.destroybuy|Only buy regions|<l>/as del [region] [world]<l>|op
AreaShop|areashop.destroybuy.landlord|Only buy regions that the player is landlord of|<l>/as del [region] [world]<l>|op
AreaShop|areashop.destroyrent|Only rent regions|<l>/as del [region] [world]<l>|op
AreaShop|areashop.destroyrent.landlord| Only rent regions that the player is landlord of|<l>/as del [region] [world]<l>|op
AreaShop|areashop.find|empty|<l>empty<l>|op
AreaShop|areashop.groupadd|empty|<l>empty<l>|op
AreaShop|areashop.groupdel|empty|<l>empty<l>|op
AreaShop|areashop.groupinfo|empty|<l>empty<l>|op
AreaShop|areashop.grouplist|empty|<l>empty<l>|op
AreaShop|areashop.help|Shows a list of all commands you have permission for.|<l>/as help<l>|op
AreaShop|areashop.info|empty|<l>empty<l>|op
AreaShop|areashop.landlord.*|Gives access to all landlord permissions (areashop.createrent.owner, areashop.createbuy.owner, areashop.setprice.landlord, areashop.setduration.landlord, areashop.destroyrent.landlord, areashop.destroybuy.landlord)|<l>empty<l>|op
AreaShop|areashop.limitbypass|Allows you to bypass the limits for how many regions you can rent/buy at the same time|<l>empty<l>|op
AreaShop|areashop.limits|Gives you the group with that name with the limits as specified in the config in the 'limitGroups' section|<l>empty<l>|op
AreaShop|areashop.limits.default|Gives you the group 'default' as limits for number of rent/buy/total regions|<l>empty<l>|op
AreaShop|areashop.linksigns|empty|<l>empty<l>|op
AreaShop|areashop.me|empty|<l>empty<l>|op
AreaShop|areashop.reload|empty|<l>empty<l>|op
AreaShop|areashop.rent|Rent a region or extend your existing rent (if no region specified then the region you stand in will be used, by default signs use this command when rightclicked, so this permission is also for that).|<l>/as rent [region]<l>|op
AreaShop|areashop.rentextendbypass|Allows you to bypass the extend limit on rent regions|<l>empty<l>|op
AreaShop|areashop.renttimebypass|Allows you to bypass the in advance renting time limit for rent regions|<l>empty<l>|op
AreaShop|areashop.resell|Only regions you own|<l>/as resell <price> [region]<l>|op
AreaShop|areashop.resellall|All regions|<l>/as resell <price> [region]<l>|op
AreaShop|areashop.schematicevents|empty|<l>empty<l>|op
AreaShop|areashop.sell|All regions|<l>/as sell [region]<l>|op
AreaShop|areashop.sellown|Only regions you own|<l>/as sell [region]<l>|op
AreaShop|areashop.setduration|empty|<l>empty<l>|op
AreaShop|areashop.setduration.landlord|Set the price for regions you are landlord|<l>/as setduration <amount> <identifier> [region]<l>|op
AreaShop|areashop.setlandlord|empty|<l>empty<l>|op
AreaShop|areashop.setownerbuy|Only for buy regions|<l>/as setowner <player> [region]<l>|op
AreaShop|areashop.setownerrent|Only for rent regions|<l>/as setowner <player> [region]<l>|op
AreaShop|areashop.setprice|empty|<l>empty<l>|op
AreaShop|areashop.setprice.landlord|Set the price for regions you are landlord|<l>/as setprice <price> [region]<l>|op
AreaShop|areashop.setrestore|empty|<l>empty<l>|op
AreaShop|areashop.setteleport|Only region you own|<l>/as settp [region] [reset]<l>|op
AreaShop|areashop.setteleportall|All regions|<l>/as settp [region] [reset]<l>|op
AreaShop|areashop.setteleportoutsideregion|Set teleport locations outside of the region|<l>/as settp [region] [reset]<l>|op
AreaShop|areashop.stack|empty|<l>empty<l>|op
AreaShop|areashop.stopresell|Only regions you own|<l>/as stopresell [region]<l>|op
AreaShop|areashop.stopresellall|All regions|<l>/as stopresell [region]<l>|op
AreaShop|areashop.tabcomplete|Allows you to tabcomplete all commands (also parts you don't have permission for, still can't execute without permission though)|<l>empty<l>|op
AreaShop|areashop.teleport|Only regions you own|<l>/as tp <region><l>|op
AreaShop|areashop.teleportall|All regions|<l>/as tp <region><l>|op
AreaShop|areashop.teleportavailable|To all available regions|<l>/as tp <region><l>|op
AreaShop|areashop.teleportavailablesign|To signs of all available regions|<l>/as tp <region><l>|op
AreaShop|areashop.teleportfriend|To regions you are added as friend|<l>/as tp <region><l>|op
AreaShop|areashop.teleportfriendsign|To signs of regions you are added as friend|<l>/as tp <region><l>|op
AreaShop|areashop.teleportsign|To the sign of the region you own|<l>/as tp <region><l>|op
AreaShop|areashop.teleportsignall|To the sign of all regions|<l>/as tp <region><l>|op
AreaShop|areashop.unrent|All regions|<l>/as unrent [region]<l>|op
AreaShop|areashop.unrentown|Only regions you own|<l>/as unrent [region]<l>|op
ArmedArmorStands|armedarmorstands.admin|to maintain the base Command /armedarmorstands|<l>/armedarmorstands<l>|op
AsyncWorldEdit|AWE.admin.blockaccess.bypass.blockshub|bypass the BlocksHub bloack access control|<l>empty<l>|op
